anchorRow,leafRows,unit,unitType,psp,careType,sqft,moveIn,capacity,occupied,secFold,basicUnitCode,groupUnitCode
65,65,124,One Bedroom,P,IL,610,2024-04-04,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
67,67,125,One Bedroom,P,IL,610,2025-11-17,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
69,69,126,One Bedroom,P,IL,610,2026-03-14,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
71,71,127,One Bedroom,P,IL,610,2019-01-16,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
73,73,128,One Bedroom,P,IL,610,2020-08-02,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
75,75,129,One Bedroom,P,IL,610,2021-03-15,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
77,77,130,One Bedroom,P,IL,610,2022-10-01,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
79,79,131,Two Bedroom,P,IL,850,2023-05-14,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
81,81;82,132,Two Bedroom,P,IL,850,2024-12-27,1,1,1,"IL - 2BR (850 SF)","IL | 2BR | A"
82,82,132,Two Bedroom,S,IL,0,,0,0,1,"IL - 2BR (850 SF)","IL | 2BR | A"
84,84,133,Two Bedroom,P,IL,850,2025-07-13,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
86,86,134,Two Bedroom,P,IL,850,2026-02-15,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
88,88,135,Two Bedroom,P,IL,850,2019-09-12,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
90,90,136,Two Bedroom,P,IL,850,,1,0,0,"IL - 2BR (850 SF)","IL | 2BR | A"
92,92,137,Two Bedroom,P,IL,850,2020-04-25,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
94,94,138,Two Bedroom,P,IL,850,2021-11-11,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
96,96,139,Two Bedroom,P,IL,850,2022-06-24,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
98,98,140,Two Bedroom,P,IL,850,2026-05-05,1,1,0,"IL - 2BR (850 SF)","IL | 2BR | A"
102,102,201,Studio,P,AL,380,2019-01-01,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
104,104;105,202,Studio,P,AL,380,2020-08-14,1,1,1,"AL - Studio (380 SF)","AL | Studio | A"
105,105,202,Studio,S,AL,0,,0,0,1,"AL - Studio (380 SF)","AL | Studio | A"
107,107,203,Studio,P,AL,380,2021-03-27,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
109,109,204,Studio,P,AL,380,2022-10-13,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
111,111,205,Studio,P,AL,380,,1,0,0,"AL - Studio (380 SF)","AL | Studio | A"
113,113;114,206,Studio,P,AL,380,2023-05-26,1,1,1,"AL - Studio (380 SF)","AL | Studio | A"
114,114,206,Studio,S,AL,0,,0,0,1,"AL - Studio (380 SF)","AL | Studio | A"
116,116,207,Studio,P,AL,380,2024-12-12,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
118,118,208,Studio,P,AL,380,2025-07-25,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
120,120,209,Studio,P,AL,380,2026-02-12,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
122,122,210,Studio,P,AL,380,2026-04-22,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
124,124,211,Studio,P,AL,380,2020-04-10,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
126,126,212,Studio,P,AL,380,2021-11-23,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
128,128,213,Studio,P,AL,380,2022-06-09,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
130,130,214,Studio,P,AL,380,2023-01-22,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
132,132,215,Studio,P,AL,380,2024-08-08,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
134,134,216,Studio,P,AL,380,2025-03-21,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
136,136,217,Studio,P,AL,380,2026-01-13,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
138,138,218,Studio,P,AL,380,2019-05-20,1,1,0,"AL - Studio (380 SF)","AL | Studio | A"
140,140,219,One Bedroom,P,AL,540,2020-12-06,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
142,142,220,One Bedroom,P,AL,540,2021-07-19,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
144,144;145,221,One Bedroom,P,AL,540,2022-02-05,1,1,1,"AL - 1BR (540 SF)","AL | 1BR | A"
145,145,221,One Bedroom,S,AL,0,,0,0,1,"AL - 1BR (540 SF)","AL | 1BR | A"
147,147,222,One Bedroom,P,AL,540,2023-09-18,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
149,149,223,One Bedroom,P,AL,540,2024-04-04,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
151,151,224,One Bedroom,P,AL,540,2025-11-17,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
153,153,225,One Bedroom,P,AL,540,,1,0,0,"AL - 1BR (540 SF)","AL | 1BR | A"
155,155,226,One Bedroom,P,AL,540,2026-03-14,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
157,157,227,One Bedroom,P,AL,540,2019-01-16,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
159,159,228,One Bedroom,P,AL,540,2026-05-19,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
161,161,229,One Bedroom,P,AL,540,2021-03-15,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
163,163,230,One Bedroom,P,AL,540,2022-10-01,1,1,0,"AL - 1BR (540 SF)","AL | 1BR | A"
167,167,301,Private,P,MC,320,2019-01-01,1,1,0,"MC - Private","MC | Private"
169,169,302,Private,P,MC,320,2026-06-12,1,1,0,"MC - Private","MC | Private"
171,171,303,Private,P,MC,320,2021-03-27,1,1,0,"MC - Private","MC | Private"
173,173,304,Private,P,MC,320,2022-10-13,1,1,0,"MC - Private","MC | Private"
175,175,305,Private,P,MC,320,2023-05-26,1,1,0,"MC - Private","MC | Private"
177,177,306,Private,P,MC,320,2024-12-12,1,1,0,"MC - Private","MC | Private"
179,179,307,Private,P,MC,320,2025-07-25,1,1,0,"MC - Private","MC | Private"
181,181,308,Private,P,MC,320,,1,0,0,"MC - Private","MC | Private"
183,183,309,Private,P,MC,320,2026-02-12,1,1,0,"MC - Private","MC | Private"
185,185,310,Private,P,MC,320,2019-09-24,1,1,0,"MC - Private","MC | Private"
187,187,311,Private,P,MC,320,2020-04-10,1,1,0,"MC - Private","MC | Private"
189,189,312,Private,P,MC,320,2021-11-23,1,1,0,"MC - Private","MC | Private"
191,191,313,Semi-Private,P,MC,400,2022-06-09,1,1,0,"MC - Semi-Private","MC | Semi-Private"
192,192,313,Semi-Private,P,MC,400,2022-06-09,1,1,0,"MC - Semi-Private","MC | Semi-Private"
194,194,314,Semi-Private,P,MC,400,2023-01-22,1,1,0,"MC - Semi-Private","MC | Semi-Private"
195,195,314,Semi-Private,P,MC,400,2023-01-22,1,1,0,"MC - Semi-Private","MC | Semi-Private"
